,StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q0,Q1.1,Q2,Q2_6_TEXT,Q2b,Q4,Q4_6_TEXT,Q3,Q3_1_TEXT,Q5,Q6,Q7,Q8,Q8_1_TEXT,Q8_2_TEXT,Q9,Q9_1_TEXT,Q9_2_TEXT,Q10,Q11,Q12,Q22,Random.ID,Q17
14,11/30/23 13:18,11/30/23 13:22,IP Address,194.9.53.223,94,213,FALSE,11/30/23 13:36,R_20SUUMeekB7EBmm,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,Asian or Pacific Islander,,"White, non-Hispanic","White, non-Hispanic",,Yes - please explain,"yes, due to some cultural difference",Agree,Somewhat agree,Strongly agree,No - please explain,,"It doesn't have any benifits,what matter is if youre happy in the relationship.",No - explain,,I never felt so because you i beleive that i can be betrayed even by the same race.,Neither agree nor disagree,Somewhat agree,Disagree,,NA,653fd2aebadbc19b18790edb
15,11/30/23 13:18,11/30/23 13:20,IP Address,78.8.212.83,94,133,FALSE,11/30/23 13:36,R_1lhlpgpaxvUsCo5,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,"White, non-Hispanic",,Asian or Pacific Islander,I don't have a racial preference,,Yes - please explain,During sexual intercourse,Neither agree nor disagree,Agree,Neither agree nor disagree,Yes - please explain,We may exchange views of the world,,No - explain,,Just no,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,NA,5e820b70239c3490a5e6015f
16,11/30/23 13:18,11/30/23 13:21,IP Address,189.147.188.39,94,192,FALSE,11/30/23 13:36,R_2YsLCaBAwfr8g8o,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",No,Hispanic,,"White, non-Hispanic","Hispanic,Other",Latina,No,,Disagree,Somewhat agree,Disagree,Yes - please explain,I may pass as white,,No - explain,,"No, I think in any case is the opposite because dating a white/european person indicates higher status (altough I don't believe in this but people believe so)",Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,NA,6156017fbad0983c816fbd7c
17,11/30/23 13:18,11/30/23 13:21,IP Address,81.207.35.171,94,176,FALSE,11/30/23 13:36,R_1jlbYWuWkXDXB6s,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,"White, non-Hispanic",,"Black, non-Hispanic","Hispanic,Black, non-Hispanic",,No,,Disagree,Strongly disagree,Strongly disagree,No - please explain,,We're just the same race optimized for different levels of solar exposure.,No - explain,,Why would it be betraying anyone that makes no sense.,Disagree,Neither agree nor disagree,Disagree,,NA,642cc97cc8746a0c9b3fd755
18,11/30/23 13:18,11/30/23 13:21,IP Address,85.246.129.75,94,154,FALSE,11/30/23 13:36,R_21d2nU7fM07YQv3,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,"White, non-Hispanic",,"Black, non-Hispanic",I don't have a racial preference,,No,,Disagree,Disagree,Neither agree nor disagree,No - please explain,,"as a white person, I have a lot of previlege ",No - explain,,race should have nothing to do with who you love,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,NA,646f5cb81d01d3447e1caa7f
19,11/30/23 13:18,11/30/23 13:23,IP Address,41.150.251.15,94,271,FALSE,11/30/23 13:36,R_1OP7E2DC5LePTDk,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,"Black, non-Hispanic",,"Black, non-Hispanic","Black, non-Hispanic,White, non-Hispanic",,No,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,No - please explain,,,Yes - explain,I get viewed as a person who thinks other races are better my own race.,,Somewhat agree,Somewhat agree,Strongly agree,,NA,6537c1fa6d8ae9d4bd8d3bee
20,11/30/23 13:18,11/30/23 13:21,IP Address,143.159.215.28,94,195,FALSE,11/30/23 13:36,R_3hnpt78wYpoxz6t,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,"White, non-Hispanic",,Hispanic,"Asian or Pacific Islander,White, non-Hispanic",,No,,Strongly disagree,Disagree,Strongly disagree,No - please explain,,race does not change who we are as a person,No - explain,,"this concept makes no sense to begin with, you can't ""betray"" an arbitrary trait, this is a concept thought up by racists",Strongly agree,Neither agree nor disagree,Strongly disagree,,NA,5f66cd05ac166d1a77c917af
21,11/30/23 13:18,11/30/23 13:23,IP Address,37.67.37.201,94,322,FALSE,11/30/23 13:36,R_PLollwXG8ij2L7P,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",No,"White, non-Hispanic",,"White, non-Hispanic",I don't have a racial preference,,No,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No - please explain,,"I think if we love someone there is no race and that understand and learn a different culture, ""race"" could be a really good bond between two partners.",No - explain,,"I don't think I can betray my race. I did date other ""race"" but that didn't change anything in a bad way only in a good way.",Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,NA,6520228e983f9bacccd28433
22,11/30/23 13:18,11/30/23 13:24,IP Address,79.150.36.157,94,391,FALSE,11/30/23 13:36,R_6SGJb1ljVlMi7V7,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,"White, non-Hispanic",,"Black, non-Hispanic",I don't have a racial preference,,Yes - please explain,"He has curly hair and I would love to see him with longer hair so I could maybe braid it, but I can tell he struggles to manage his curly hair and I feel like sometimes I pressured him into keeping it long.",Strongly disagree,Somewhat agree,Strongly disagree,Yes - please explain,"I have learned so much about his culture and his lifestyle which is very different from the one I grew up with. I have tried different foods, and different festivities and learned a lot from him and his family.",,No - explain,,My family has always been very open about me being with different races and ethnicities and I think it is only positive. It broadens my horizons and makes me more considerate.,Agree,Agree,Somewhat disagree,,NA,5f68aeffccea510008fc595d
23,11/30/23 13:18,11/30/23 13:23,IP Address,197.184.177.222,94,305,FALSE,11/30/23 13:36,R_2xyp7DJL6PSsRxE,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,Other,Mixed Race,Asian or Pacific Islander,I don't have a racial preference,,No,,Strongly disagree,Agree,Strongly disagree,No - please explain,,"It doesn't matter what race you are, I have never experienced any benefits.",Yes - explain,I never felt betrayed at all. My ex-girlfriend however made me feel like I betrayed my own because of her words and lack of understanding. That coupled with the fact that she was a racist,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,NA,5fb665db2bfd3e385beb133d
24,11/30/23 13:18,11/30/23 13:23,IP Address,189.174.225.28,94,303,FALSE,11/30/23 13:36,R_33apsZrbXklKtUA,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,Hispanic,,"White, non-Hispanic","Hispanic,I don't have a racial preference",,No,,Disagree,Somewhat agree,Disagree,Yes - please explain,because its always good to learn and know other cultures ,,No - explain,,even if that were the case i wouldnt mind  what any other person has to say anyways,Disagree,Neither agree nor disagree,Neither agree nor disagree,,NA,614d061aa0abbd89a703844f
25,11/30/23 13:18,11/30/23 13:25,IP Address,105.214.77.42,94,422,FALSE,11/30/23 13:36,R_3fTeY0USfQHLCay,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,"Black, non-Hispanic",,"White, non-Hispanic","Black, non-Hispanic",,No,,Somewhat disagree,Somewhat agree,Somewhat disagree,Yes - please explain,You get to interact with people and experience things you wouldn't on a regular basis.,,No - explain,,"I don't fit in with people of my own race to some degree, so It's always been me figuring things out myself.",Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,NA,60faef4f671f6d0d1a198881
26,11/30/23 13:18,11/30/23 13:23,IP Address,95.239.69.107,94,310,FALSE,11/30/23 13:36,R_3j1cupwyYD5jHWv,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",No,"White, non-Hispanic",,"White, non-Hispanic",I don't have a racial preference,,No,,Agree,Agree,Agree,No - please explain,,I think that in the daily life there are lots of cultural differences that need to be overcomed otherwise it can lead to lots of misunderstandings (I speak more as a European person whose partner is from a different country than mine) ,No - explain,,"I just don't understand how I could ""betray"" my race",Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,NA,610ace4933273468b51da78f
27,11/30/23 12:48,11/30/23 12:51,IP Address,72.33.2.184,18,196,FALSE,11/30/23 13:36,R_2fAHz421k3wS2Hn,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",,NA,,,,,,,,,,,,,,,,,,,,NA,
28,11/30/23 13:18,11/30/23 13:20,IP Address,80.174.8.222,94,132,FALSE,11/30/23 13:36,R_1oilSA820MmS1zm,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",No,Hispanic,,Hispanic,"Hispanic,White, non-Hispanic",,No,,Neither agree nor disagree,Disagree,Disagree,Yes - please explain,There are certain privileges depending on the race,,No - explain,,I think interracial dating is just fine and it's even better than dating the same race.,Agree,Neither agree nor disagree,Somewhat disagree,,NA,5ea36a43a2f5032e8af7bc29
